user_id,week,plank_seconds,situps,pushups,squats
0,0,29,2,7,9
0,1,33,2,7,10
0,2,32,3,7,10
0,3,39,3,8,11
0,4,38,3,8,12
0,5,42,2,8,14
0,6,30,2,6,10
0,7,47,3,10,14
0,8,48,4,10,15
0,9,49,3,11,15
0,10,52,3,11,15
0,11,53,3,12,16
1,0,97,10,22,26
1,1,96,10,24,25
1,2,98,10,24,27
1,3,96,11,23,26
1,4,102,10,24,29
1,5,102,11,25,28
1,6,105,11,26,28
1,7,100,11,25,28
1,8,78,7,19,21
1,9,111,12,27,31
1,10,117,12,27,31
1,11,121,13,27,33
2,0,51,2,12,11
2,1,54,3,13,12
2,2,57,4,15,13
2,3,61,3,14,13
2,4,64,4,15,14
2,5,66,4,16,15
2,6,68,3,16,15
2,7,67,4,17,15
2,8,51,3,13,11
2,9,75,4,19,17
2,10,58,3,14,13
2,11,78,4,19,18
3,0,63,6,11,14
3,1,64,6,11,13
3,2,69,7,11,14
3,3,66,6,11,14
3,4,66,6,11,14
3,5,73,6,12,15
3,6,72,7,12,15
3,7,74,7,12,16
3,8,53,4,9,11
3,9,81,8,13,16
3,10,81,8,13,16
3,11,77,7,13,17
4,0,48,2,6,10
4,1,49,2,7,11
4,2,52,1,8,12
4,3,55,1,8,12
4,4,44,2,7,9
4,5,61,2,9,14
4,6,49,2,7,11
4,7,68,1,9,16
4,8,78,2,12,17
4,9,77,1,10,16
4,10,82,2,12,18
4,11,80,2,13,18
5,0,29,1,5,9
5,1,30,2,6,11
5,2,33,2,6,12
5,3,36,2,7,12
5,4,38,1,8,12
5,5,39,2,8,13
5,6,42,2,8,13
5,7,41,2,9,14
5,8,32,1,7,11
5,9,50,2,10,16
5,10,35,2,7,12
5,11,54,2,10,17
6,0,39,2,7,7
6,1,41,2,7,7
6,2,45,2,8,7
6,3,50,3,8,9
6,4,53,2,9,9
6,5,37,2,7,6
6,6,58,2,9,9
6,7,59,3,10,10
6,8,65,3,11,11
6,9,65,3,11,11
6,10,49,3,8,8
6,11,75,4,13,12
7,0,100,8,22,30
7,1,103,10,25,32
7,2,107,10,23,34
7,3,104,9,23,33
7,4,76,7,17,24
7,5,110,10,26,36
7,6,112,10,24,36
7,7,120,11,27,37
7,8,118,10,27,34
7,9,118,10,26,37
7,10,88,7,20,27
7,11,120,11,28,40
8,0,73,4,11,12
8,1,75,4,13,12
8,2,71,4,11,11
8,3,79,5,13,13
8,4,80,4,14,12
8,5,80,4,14,13
8,6,57,3,9,9
8,7,90,5,14,14
8,8,60,3,10,9
8,9,91,5,14,14
8,10,86,5,15,14
8,11,95,4,15,14
9,0,72,5,8,18
9,1,72,6,8,19
9,2,71,6,8,19
