user_id,age,weight,experience,true_strength,progression_rate,fatigue_sensitivity,fatigue
0,29,79.3846658,0,5.88492502,0.06783931,0.83618183,0.0
1,32,73.71368281,2,45.33601546,0.02444104,1.23175371,0.0
2,34,75.24083969,1,11.11825966,0.05460661,1.41779582,0.0
3,33,68.1491772,1,14.40232262,0.02542239,0.95907392,0.0
4,25,80.9433233,0,5.74044652,0.07433863,0.89269525,0.0
5,24,79.54997797,0,13.50038578,0.07797803,0.87632809,0.0
6,22,80.12525822,0,13.87212743,0.0788886,0.8956754,0.0
7,38,85.56240029,2,45.46741473,0.02387805,0.98878794,0.0
8,35,95.0,1,16.41311528,0.02576257,0.88631314,0.0
9,28,62.79609195,1,17.13055335,0.04189827,1.35641287,0.0
10,22,66.65583546,0,12.55551139,0.06915193,0.86158393,0.0
11,43,57.04946129,2,24.83663862,0.02845335,1.4464963,0.0
12,27,57.17575753,1,16.24764922,0.05149841,1.05947602,0.0
13,24,69.71152484,0,14.06828442,0.07088529,1.3181521,0.0
14,30,55.0,0,7.2210781,0.06479461,1.07009214,0.0
15,32,75.45517944,0,6.68291042,0.06875057,1.2464816,0.0
16,34,71.8451666,0,7.46876063,0.08785217,1.36981647,0.0
17,26,71.72623554,1,14.27260742,0.02610661,1.28765147,0.0
18,19,67.58233977,0,8.45071248,0.08537405,1.34456436,0.0
19,29,71.15834915,0,9.47783165,0.08211572,1.27415738,0.0
20,32,58.78123049,1,22.04709635,0.03910902,1.58673851,0.0
21,28,65.31753301,0,13.16431873,0.0919338,0.92057404,0.0
22,23,79.89672805,0,8.25958905,0.06880964,1.36891963,0.0
23,24,76.31489463,0,6.74366429,0.08763751,1.10938828,0.0
24,25,68.11735601,0,6.13473521,0.09698774,1.50187148,0.0
25,24,63.14487626,1,13.42825033,0.03024865,1.58573467,0.0
26,34,68.75509042,0,13.97215758,0.09601672,1.30648117,0.0
27,30,69.94133283,1,14.18307029,0.04601073,1.47732891,0.0
28,22,65.19975278,1,12.42443071,0.05195663,1.28514325,0.0
29,20,74.32253697,0,8.72282767,0.09760534,1.57893107,0.0
30,39,73.74833012,1,20.37842797,0.04455884,0.97941545,0.0
31,18,59.83145108,0,5.18075364,0.07975575,0.94305817,0.0
32,25,76.24486244,0,10.68308603,0.06374699,1.09417264,0.0
33,38,81.40535585,2,37.69612543,0.02953564,1.18939372,0.0
34,32,84.09381971,2,35.07911279,0.02069189,1.19401416,0.0
35,26,77.37960004,1,13.45277902,0.0399758,1.25760336,0.0
36,34,55.0,0,13.83494022,0.08990875,1.56245748,0.0
37,34,69.5686554,0,10.52764967,0.0828917,1.58426527,0.0
38,22,62.73953381,1,18.35201894,0.05308464,1.35682384,0.0
39,25,66.87034682,0,5.70416131,0.06835675,1.33691481,0.0
40,19,63.44759481,0,8.22550764,0.09394679,0.90929707,0.0
41,33,61.72938241,0,10.52819977,0.07186041,1.13582469,0.0
42,30,60.16734379,0,5.70940917,0.07587135,0.84061482,0.0
43,43,76.94995654,2,30.13985471,0.01626282,0.87518555,0.0
44,34,63.06879726,0,10.2224326,0.09079974,0.97265682,0.0
45,26,68.65182753,1,16.85897742,0.05026069,0.95550403,0.0
46,32,64.34490634,0,6.32745422,0.09878147,1.37167608,0.0
47,38,76.22313762,1,15.98231352,0.03800562,1.39523411,0.0
48,26,89.81291077,1,10.87290393,0.05245641,1.15388178,0.0
49,33,65.22584332,0,6.82865997,0.09738456,1.31061648,0.0
