user_id,week,exercise,sets,reps_per_set,avg_rpe,volume,weighted_volume
0,0,pushups,4,"[4, 4, 2, 2]",8.05,12,12
0,0,squats,4,"[10, 10, 8, 7]",10,35,24.5
0,0,situps,4,"[2, 1, 1, 1]",6.82,5,7.5
0,0,plank_seconds,4,"[47, 47, 46, 45]",10,185,55.5
0,0,pushups,4,"[4, 3, 3, 2]",8.05,12,12
0,0,squats,4,"[11, 10, 8, 8]",10,37,25.9
0,0,situps,4,"[2, 1, 1, 1]",6.82,5,7.5
0,0,plank_seconds,4,"[47, 47, 45, 45]",10,184,55.2
0,0,pushups,4,"[5, 3, 3, 2]",8.05,13,13
0,0,squats,4,"[11, 10, 8, 7]",10,36,25.2
0,0,situps,4,"[1, 1, 1, 1]",6.82,4,6
0,0,plank_seconds,4,"[48, 47, 46, 45]",10,186,55.8
1,0,pushups,4,"[5, 3, 1, 1]",8.19,10,10
1,0,squats,4,"[8, 6, 6, 5]",10,25,17.5
1,0,situps,4,"[1, 1, 1, 1]",7.1,4,6
1,0,plank_seconds,4,"[36, 35, 33, 33]",10,137,41.1
1,0,pushups,4,"[4, 2, 2, 1]",8.19,9,9
1,0,squats,4,"[7, 7, 6, 5]",10,25,17.5
1,0,situps,4,"[2, 1, 1, 1]",7.1,5,7.5
1,0,plank_seconds,4,"[36, 35, 35, 33]",10,139,41.7
1,0,pushups,4,"[4, 3, 2, 1]",8.19,10,10
1,0,squats,4,"[8, 6, 5, 4]",10,23,16.1
1,0,situps,4,"[2, 2, 1, 1]",7.1,6,9
1,0,plank_seconds,4,"[35, 34, 34, 33]",10,136,40.8
2,0,pushups,4,"[15, 15, 13, 13]",8.29,56,56
2,0,squats,4,"[33, 31, 32, 30]",10,126,88.2
2,0,situps,4,"[6, 7, 5, 5]",7.14,23,34.5
2,0,plank_seconds,4,"[138, 137, 137, 136]",10,548,164.4
2,0,pushups,4,"[15, 14, 13, 12]",8.29,54,54
2,0,squats,4,"[33, 32, 30, 30]",10,125,87.5
2,0,situps,4,"[9, 7, 5, 4]",7.14,25,37.5
2,0,plank_seconds,4,"[139, 137, 137, 136]",10,549,164.7
3,0,pushups,4,"[5, 3, 3, 2]",8.39,13,13
3,0,squats,4,"[11, 11, 9, 8]",10,39,27.3
3,0,situps,4,"[3, 2, 1, 1]",7.19,7,10.5
3,0,plank_seconds,4,"[50, 48, 48, 47]",10,193,57.9
3,0,pushups,4,"[5, 5, 3, 3]",8.39,16,16
3,0,squats,4,"[12, 11, 9, 10]",10,42,29.4
3,0,situps,4,"[2, 1, 1, 1]",7.19,5,7.5
3,0,plank_seconds,4,"[49, 48, 47, 46]",10,190,57
3,0,pushups,4,"[6, 5, 3, 3]",8.39,17,17
3,0,squats,4,"[12, 11, 10, 8]",10,41,28.7
3,0,situps,4,"[2, 2, 1, 1]",7.19,6,9
3,0,plank_seconds,4,"[50, 49, 47, 47]",10,193,57.9
4,0,pushups,4,"[11, 11, 10, 9]",8.31,41,41
4,0,squats,4,"[24, 23, 22, 20]",10,89,62.3
4,0,situps,4,"[6, 4, 4, 3]",7.15,17,25.5
4,0,plank_seconds,4,"[102, 103, 100, 99]",10,404,121.2
4,0,pushups,4,"[12, 11, 10, 9]",8.31,42,42
4,0,squats,4,"[23, 22, 22, 20]",10,87,60.9
4,0,situps,4,"[6, 4, 3, 2]",7.15,15,22.5
4,0,plank_seconds,4,"[103, 101, 100, 100]",10,404,121.2
4,0,pushups,4,"[12, 10, 9, 9]",8.31,40,40
4,0,squats,4,"[23, 22, 21, 20]",10,86,60.2
4,0,situps,4,"[6, 5, 4, 2]",7.15,17,25.5
4,0,plank_seconds,4,"[102, 101, 100, 99]",10,402,120.6
5,0,pushups,4,"[5, 5, 4, 2]",8.31,16,16
5,0,squats,4,"[12, 11, 9, 9]",10,41,28.7
5,0,situps,4,"[3, 2, 1, 1]",7.16,7,10.5
